epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,8471.06,1.29484,0.94781,1.39748,0,0,0,0,0,496.666,0,0.0021079,0.0021079,0.0021079
81,8580.77,1.25087,0.91369,1.36367,0,0,0,0,0,536.384,0,0.002008,0.002008,0.002008
82,8690.14,1.26367,0.92545,1.38098,0,0,0,0,0,574.874,0,0.0019081,0.0019081,0.0019081
83,8799.38,1.2319,0.89885,1.37062,0,0,0,0,0,592.821,0,0.0018082,0.0018082,0.0018082
84,8908,1.19354,0.86883,1.34894,0,0,0,0,0,610.16,0,0.0017083,0.0017083,0.0017083
85,9016.68,1.15092,0.82523,1.31722,0,0,0,0,0,565.815,0,0.0016084,0.0016084,0.0016084
86,9126.32,1.1572,0.86203,1.33795,0,0,0,0,0,524.232,0,0.0015085,0.0015085,0.0015085
87,9235.45,1.18681,0.86594,1.32486,0,0,0,0,0,538.49,0,0.0014086,0.0014086,0.0014086
88,9335.4,1.21431,0.88651,1.36155,0,0,0,0,0,554.689,0,0.0013087,0.0013087,0.0013087
89,9443.71,1.17137,0.86397,1.3218,0,0,0,0,0,559.581,0,0.0012088,0.0012088,0.0012088
90,9551.68,1.16051,0.8619,1.33752,0,0,0,0,0,590.624,0,0.0011089,0.0011089,0.0011089
91,9658.35,1.02561,0.7286,1.26465,0,0,0,0,0,573.6,0,0.001009,0.001009,0.001009
92,9764.72,1.01674,0.69757,1.27122,0,0,0,0,0,490.017,0,0.0009091,0.0009091,0.0009091
93,9871.47,1.00833,0.65222,1.22656,0,0,0,0,0,487.46,0,0.0008092,0.0008092,0.0008092
94,9977.16,0.97818,0.62102,1.2327,0,0,0,0,0,540.539,0,0.0007093,0.0007093,0.0007093
95,10083,0.94026,0.59289,1.19654,0,0,0,0,0,574.646,0,0.0006094,0.0006094,0.0006094
96,10188.6,0.93875,0.59004,1.18245,0,0,0,0,0,592.42,0,0.0005095,0.0005095,0.0005095
97,10294.2,0.90841,0.56674,1.18836,0,0,0,0,0,582.636,0,0.0004096,0.0004096,0.0004096
98,10399.6,0.93611,0.60555,1.21589,0,0,0,0,0,565.461,0,0.0003097,0.0003097,0.0003097
99,10505.4,0.8924,0.5796,1.1853,0,0,0,0,0,557.848,0,0.0002098,0.0002098,0.0002098
100,10611,0.93149,0.58927,1.20984,0,0,0,0,0,554.603,0,0.0001099,0.0001099,0.0001099
